Timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,Id,Time,acc_diff_x,acc_diff_y,acc_diff_z,acc_ma_x,acc_ma_y,acc_ma_z
16022,-8.657541,-1.457281,4.936569,18.059999,0.56,2.94,76.955063,-129.365341,69.215233,48,0.96,-0.0693940000000008,0.0741799999999999,0.0789650000000001,-8.622844,-1.4943709999999997,4.8970865
16042,-8.669506,-1.447709,4.843246,21.84,0.07,-1.61,76.74057,-128.011566,68.615532,49,0.98,-0.011965,0.0095720000000001,-0.0933230000000007,-8.6635235,-1.4524949999999994,4.8899075
16062,-8.628826,-1.447709,4.876747,21.42,5.25,-4.62,73.581314,-124.854652,66.112221,50,1.0,0.04068,0.0,0.0335010000000002,-8.649166000000001,-1.4477089999999997,4.859996499999999
16082,-8.693435,-1.450102,5.003571,17.780001,6.09,-6.72,75.351448,-128.312103,68.010818,51,1.02,-0.064608999999999,-0.002393,0.126824,-8.661130499999999,-1.4489054999999995,4.940159
16102,-8.60729,-1.27542,4.879139,12.74,10.57,-2.87,76.129478,-129.224014,69.245819,52,1.04,0.0861449999999983,0.174682,-0.1244319999999996,-8.6503625,-1.3627609999999994,4.941355
16122,-8.892047,-1.399851,4.857604,12.04,3.57,-2.24,74.933945,-128.242432,67.88578,53,1.06,-0.284756999999999,-0.1244309999999999,-0.021535,-8.7496685,-1.3376354999999995,4.8683715
16142,-8.655149,-1.347207,4.737958,5.25,0.91,-2.87,75.132675,-126.679451,68.441887,54,1.08,0.236898,0.0526439999999999,-0.1196460000000003,-8.773598,-1.3735289999999996,4.7977810000000005
16162,-8.736507,-1.354386,4.776245,2.45,1.47,-2.17,75.702988,-128.87645,70.011215,55,1.1,-0.0813579999999998,-0.007179,0.0382870000000004,-8.695827999999999,-1.3507964999999995,4.7571015
16182,-8.726935,-1.383101,4.795388,1.96,-2.24,-2.94,78.387901,-127.735466,70.756226,56,1.12,0.0095720000000003,-0.0287149999999998,0.0191429999999996,-8.731721,-1.3687434999999994,4.7858165
16202,-8.542682,-1.320885,4.651814,4.62,-5.95,-3.36,75.59256,-126.740204,69.829895,57,1.14,0.184253,0.0622159999999998,-0.1435740000000001,-8.634808499999998,-1.3519929999999996,4.723601
16222,-8.45893,-1.316099,4.685314,4.2,-0.56,-1.61,74.951462,-129.558884,68.773788,58,1.16,0.0837519999999987,0.0047860000000001,0.0335,-8.500806,-1.3184919999999996,4.668564
16242,-8.552254,-1.342421,4.852818,4.83,0.07,0.28,77.923729,-127.395828,70.398987,59,1.18,-0.093323999999999,-0.0263220000000001,0.1675040000000001,-8.505592,-1.3292599999999997,4.7690660000000005
16262,-8.612076,-1.344814,4.833674,6.16,-2.73,-0.14,74.960022,-130.116638,66.712257,60,1.2,-0.0598220000000004,-0.0023929999999998,-0.0191439999999998,-8.582165,-1.3436174999999997,4.843246000000001
16282,-8.533111,-1.363958,4.788209,6.51,-2.66,-1.19,74.490356,-126.298553,68.934273,61,1.22,0.0789650000000001,-0.019144,-0.045465,-8.5725935,-1.3543859999999994,4.8109415
16302,-8.609683,-1.373529,4.797781,6.72,-2.1,-0.49,75.306534,-126.441849,68.623024,62,1.24,-0.0765720000000005,-0.0095709999999999,0.0095719999999994,-8.571397000000001,-1.3687434999999994,4.792995
16322,-8.7389,-1.330457,4.864782,6.09,-0.28,0.21,77.138351,-129.125748,69.677032,63,1.26,-0.1292169999999988,0.043072,0.0670010000000003,-8.674291499999999,-1.3519929999999996,4.831281499999999
16342,-8.750865,-1.318492,4.893497,3.64,-3.15,-0.84,76.205299,-128.447479,68.82222,64,1.28,-0.011965,0.011965,0.028715,-8.7448825,-1.3244744999999996,4.8791395
16362,-8.633613,-1.311314,4.82171,2.73,-2.31,-1.4,75.353195,-126.711807,68.855232,65,1.3,0.1172519999999988,0.0071779999999999,-0.0717869999999996,-8.692239,-1.3149029999999997,4.8576035
16382,-8.61447,-1.378315,4.697278,1.96,-0.77,-1.54,75.420029,-125.657387,69.322067,66,1.32,0.0191429999999996,-0.0670009999999998,-0.1244320000000005,-8.6240415,-1.3448144999999996,4.759494
16402,-8.540289,-1.284992,4.848032,2.52,-0.28,-1.47,75.685471,-127.559998,69.123207,67,1.34,0.0741810000000011,0.093323,0.150754,-8.5773795,-1.3316534999999994,4.772655
16422,-8.523539,-1.337636,4.879139,3.22,-0.14,-0.91,76.385185,-126.888466,68.817001,68,1.36,0.01675,-0.0526440000000001,0.0311070000000004,-8.531914,-1.3113139999999994,4.8635855
16442,-8.597719,-1.340029,4.82171,2.1,-1.05,0.0,75.208374,-130.422913,66.796486,69,1.38,-0.0741800000000001,-0.0023929999999998,-0.0574289999999999,-8.560628999999999,-1.3388324999999996,4.850424500000001
16462,-8.461323,-1.320885,4.663778,2.17,-1.19,0.0,76.651939,-127.470657,68.291451,70,1.4,0.1363959999999995,0.0191439999999998,-0.1579320000000006,-8.529520999999999,-1.3304569999999996,4.742744
16482,-8.420644,-1.366351,4.776245,1.26,0.91,1.05,74.939545,-127.20089,66.528328,71,1.42,0.0406790000000008,-0.045466,0.1124670000000005,-8.4409835,-1.3436179999999998,4.7200115
16502,-8.707792,-1.277813,4.725994,0.49,1.33,2.45,75.023888,-127.462921,67.883179,72,1.44,-0.2871480000000002,0.088538,-0.0502510000000002,-8.564218,-1.3220819999999995,4.7511195
16522,-8.791544,-1.241919,4.661385,1.96,0.42,1.4,74.994316,-128.789291,67.367882,73,1.46,-0.0837520000000004,0.035894,-0.0646089999999999,-8.749668,-1.2598659999999997,4.6936895
16542,-8.693435,-1.239526,4.778637,6.3,-0.28,-0.56,76.703323,-127.739632,68.663986,74,1.48,0.0981090000000008,0.002393,0.1172519999999996,-8.7424895,-1.2407224999999995,4.720011
16562,-8.681471,-1.261063,4.962892,4.55,3.15,2.52,76.505028,-129.022736,69.278984,75,1.5,0.0119639999999989,-0.0215370000000001,0.1842550000000002,-8.687453,-1.2502944999999994,4.8707645
16582,-8.621648,-1.165346,4.883925,2.52,1.19,2.73,74.815849,-124.507881,68.268211,76,1.52,0.0598229999999997,0.095717,-0.0789670000000004,-8.651559500000001,-1.2132044999999996,4.9234085
16602,-8.667113,-1.194061,4.76428,-0.14,1.4,3.5,74.499352,-126.576439,68.043831,77,1.54,-0.045465,-0.028715,-0.1196449999999993,-8.6443805,-1.1797034999999996,4.8241025
16622,-8.640791,-1.155775,4.6901,-0.63,2.8,4.13,73.322655,-125.590897,67.245117,78,1.56,0.0263220000000004,0.038286,-0.0741800000000001,-8.653952,-1.1749179999999997,4.72719
16642,-8.695828,-1.21799,4.752316,0.35,2.1,4.2,76.447304,-125.835037,69.143509,79,1.58,-0.0550370000000004,-0.0622149999999999,0.0622160000000002,-8.6683095,-1.1868824999999994,4.721208000000001
16662,-8.540289,-1.206026,4.812138,0.49,0.0,2.45,75.328331,-128.037186,68.48027,80,1.6,0.1555390000000009,0.0119639999999998,0.0598219999999996,-8.6180585,-1.2120079999999995,4.782227000000001
16682,-8.444572,-1.208419,4.697278,3.99,0.14,1.96,73.275093,-126.361481,68.510696,81,1.62,0.0957169999999987,-0.0023929999999998,-0.1148600000000001,-8.492430500000001,-1.2072224999999994,4.754708
16702,-8.626433,-1.237134,4.790602,3.92,3.01,3.01,73.839951,-124.599213,68.819305,82,1.64,-0.1818609999999996,-0.028715,0.0933239999999999,-8.5355025,-1.2227764999999997,4.74394
16722,-8.497216,-1.665464,5.04425,6.79,2.24,-0.7,75.583138,-126.742188,69.549232,83,1.66,0.1292170000000005,-0.4283300000000001,0.2536480000000001,-8.5618245,-1.4512989999999997,4.917426
16742,-8.674292,-1.234741,4.625491,0.63,2.31,2.17,73.783867,-124.33123,68.306442,84,1.68,-0.1770759999999995,0.4307229999999999,-0.4187589999999996,-8.585754,-1.4501024999999996,4.8348705
16762,-8.671899,-1.172525,4.816924,2.87,4.83,3.22,75.691925,-125.958717,70.107948,85,1.7,0.0023929999999996,0.062216,0.1914329999999999,-8.673095499999999,-1.2036329999999995,4.7212075
16782,-8.810688,-1.153382,4.807353,6.02,2.03,0.07,74.01841,-128.880615,67.918976,86,1.72,-0.1387890000000009,0.0191430000000001,-0.0095710000000002,-8.741293500000001,-1.1629534999999995,4.8121385
16802,-8.664721,-1.129453,4.603955,4.97,-1.19,-0.21,74.050522,-129.433426,66.55909,87,1.74,0.1459670000000006,0.0239289999999998,-0.2033979999999999,-8.7377045,-1.1414174999999995,4.705654
16822,-8.576182,-1.112702,4.694886,5.25,1.47,1.12,73.397575,-125.854912,68.319305,88,1.76,0.0885390000000008,0.0167509999999999,0.0909310000000003,-8.6204515,-1.1210774999999995,4.6494205
16842,-8.420644,-1.335243,4.89589,6.44,0.7,-1.68,74.442368,-127.349007,69.028755,89,1.78,0.1555379999999999,-0.2225409999999998,0.2010039999999993,-8.498413,-1.2239724999999997,4.795388
16862,-8.47568,-1.239526,4.618313,5.11,0.91,0.56,75.446526,-127.251732,69.319641,90,1.8,-0.0550360000000011,0.095717,-0.2775769999999999,-8.448162,-1.2873844999999997,4.757101499999999
16882,-8.513967,-1.20124,4.7236,5.74,1.75,2.03,74.57296,-128.160858,69.444702,91,1.82,-0.0382869999999986,0.0382859999999998,0.1052870000000005,-8.494823499999999,-1.2203829999999996,4.6709565
16902,-8.461323,-1.282599,4.771459,8.05,2.24,0.56,74.305763,-127.858551,68.799156,92,1.84,0.052643999999999,-0.0813589999999999,0.0478589999999998,-8.487645,-1.2419194999999996,4.747529500000001
